deltaT, accX, accY, accZ, thetaX, thetaY, thetaZ
9808, -0.0310059, -0.0102539, 0.9111329, -0.7075849, 1.3824429, 1.1676702
12340, -0.0214844, -0.0014648, 0.9062500, -0.6977758, 1.3876026, 1.1672445
9816, -0.0270996, -0.0302734, 0.9140625, -0.7206707, 1.3930642, 1.1655430
9776, -0.0241699, -0.0087891, 0.9091797, -0.7158390, 1.3925751, 1.1625002
9776, -0.0212402, -0.0129395, 0.9160157, -0.7181525, 1.3908205, 1.1615185
9800, -0.0239258, -0.0134277, 0.9133301, -0.7185636, 1.3911429, 1.1593110
9800, -0.0161133, -0.0126953, 0.9147950, -0.7231885, 1.3817800, 1.1564056
9792, -0.0231934, -0.0100098, 0.9125977, -0.7170952, 1.3832837, 1.1551622
12360, -0.0329590, -0.0175781, 0.9172364, -0.7284426, 1.3928183, 1.1536700
9832, -0.0227051, -0.0070801, 0.9152832, -0.7247710, 1.3888645, 1.1533426
9780, -0.0178223, -0.0107422, 0.9135743, -0.7247065, 1.3848307, 1.1545593
9800, -0.0231934, -0.0144043, 0.9089356, -0.7274737, 1.3847544, 1.1537739
9800, -0.0227051, -0.0068359, 0.9233399, -0.7186490, 1.3845215, 1.1545784
9792, -0.0200195, -0.0119629, 0.9206543, -0.7201984, 1.3823624, 1.1530296
9784, -0.0229492, -0.0117188, 0.9104004, -0.7194368, 1.3855116, 1.1519389
12352, -0.0219727, -0.0192871, 0.9167481, -0.7311068, 1.3867177, 1.1522787
9848, -0.0227051, -0.0109863, 0.9020997, -0.7302503, 1.3931969, 1.1553101
9780, -0.0268555, -0.0053711, 0.9118653, -0.7222051, 1.4005254, 1.1555651
9792, -0.0214844, -0.0212402, 0.9113770, -0.7331032, 1.3965535, 1.1531003
9792, -0.0178223, -0.0058594, 0.9128418, -0.7271553, 1.3905895, 1.1533836
9804, -0.0195312, -0.0114746, 0.9160157, -0.7277468, 1.3850551, 1.1522644
9800, -0.0319824, -0.0166016, 0.9162598, -0.7310114, 1.3944203, 1.1523950
19972, -0.0270996, -0.0107422, 0.9145508, -0.7336596, 1.4025555, 1.1523509
12096, -0.0302734, -0.0063477, 0.9160157, -0.7264978, 1.4089169, 1.1484770
9880, -0.0156250, -0.0197754, 0.9165040, -0.7328375, 1.4024429, 1.1507450
9780, -0.0168457, -0.0083008, 0.9082032, -0.7301126, 1.3950443, 1.1507229
9780, -0.0212402, -0.0036621, 0.9165040, -0.7223829, 1.3925818, 1.1534489
9772, -0.0249023, -0.0092773, 0.9140625, -0.7167017, 1.3949898, 1.1534290
